,clean
0,regret shed tear
1,like haze apple tree pass
2,turn gold m fade appear
4,having get know touch coolness
6,land birch tree oh goodness
8,vagrant s spirit
9,stir fire lip day
10,oh freshness begin soften
11,oh lost emotion vehement gaze
12,presently feel yearning
13,oh life sleep fast
14,feel like early morning
15,rosy horse ve gallop past
16,perish hope favour
17,golden leave flow turn grey
19,come bloom pass away don t love don t pity
21,look face tremble passion
24,young sensual smile
25,m tender rude
27,hand remember lip
29,know ve pass like shadow
34,eye half closed
36,drown faraway memory
37,don t love
39,don t ardor fate
40,shallow fiery liaison
44,ll continue path
45,burn joyless day
46,don t touch unkissed
47,don t lure unburned
50,alley chatting love
54,turn shoulder close
55,head little bowed
56,quietly good evening
57,answer good evening miss
62,burn set fire force smile girl tensely like
64,suppose know know
67,see want stop stare lie
68,woe settle misty heart
72,m villain haven t rob forest
73,haven t shoot wretch dungeon
74,m merely street rake
75,smile pass face
77,m mischievous moscow playboy
78,tver neighborhood dog
79,recognize breezy gait
83,nod head greet
84,m good friend animal
87,hat impress woman
88,heart t bear meaningless passion
89,make easy soothe sadness
90,gold oat mare
93,m loyal different kingdom
94,m ready good tie
95,neck local hound
97,win t hurt long
98,swamp drain murky heart
99,m know charlatan
100,m know brawler pearly droplet beautiful droplet
101,lovely golden ray
102,sad inclement droplet
103,wet window black autumn
105,people live merry oblivion
106,grand appear eye
107,pitiful dark decline
108,consolation world living
110,autumn droplet sadness
111,inspire heavy soul
112,quietly slide glass meandering
115,wretched people undo life
116,pain live day
118,bygone time forget maple leave maple cover ice
119,stand slump white blizzard
122,s ve go walk outside village
124,like drunken guard road
125,tumble snowdrift freeze leg
127,ah day m steady
128,head drink friend win t reach home
130,meet willow meet pine
131,howl blizzard sing song summer
134,completely green leafless
136,sheet wind lose decorum
137,hug birch man s wife amusement leave
138,finger mouth merry whistle
139,ve acquire ill fame
140,hustler scandal monger
142,ah funny loss
143,funny loss life
144,m ashamed believe god
145,m bitter don t
147,golden faraway distance
148,bleakness life burn
152,gift poet caress scratch
153,bear fateful stamp
154,want marry white rise
155,black toad earth
157,rise color plan
158,didn t pan didn t come true
159,demon nest soul
160,mean angel live
162,s joy chaos
168,lack belief grace
169,lay russian shirt
